vip,result,detail
AHB-VIP,PASS,amba_dut:PASS(x_hits=0 toggles=25)
APB-VIP,PASS,amba_dut:PASS(x_hits=0 toggles=1038)
AVSBus-VIP,SKIP,avsbus_regulator_model:SKIP(compile: unsupported SV (see smoke.log))
AXI-VIP,PASS,amba_dut:PASS(x_hits=0 toggles=1230)
Bluetooth5-VIP,SKIP,bluetooth5_dut:SKIP(compile: unsupported SV (see smoke.log))
CAN-VIP,PASS,can_node_model:PASS(x_hits=0 toggles=11)
CCIX-VIP,PASS,ccix_agent_model:PASS(x_hits=0 toggles=2232)
CPRI-VIP,PASS,cpri_slave_dut:PASS(x_hits=0 toggles=0)
CSE-VIP,PASS,mipi_dut:PASS(x_hits=0 toggles=4202)
CSI_2-VIP,SKIP,mipi_dut:SKIP(compile: unsupported SV (see smoke.log))
CXL-VIP,SKIP,mp_dut:SKIP(interface pcie5_if passed through to submodule); mp_endpoint_mem_model:SKIP(compile: unsupported SV (see smoke.log))
CXS-VIP,PASS,cxs_receiver_model:PASS(x_hits=0 toggles=741)
C_PHY-VIP,SKIP,mipi_dut:SKIP(compile: unsupported SV (see smoke.log))
DBI-VIP,SKIP,dbi_display_controller:SKIP(compile: unsupported SV (see smoke.log))
DDR-VIP,SKIP,ddr_mem_model:SKIP(compile: unsupported SV (see smoke.log))
DFI-VIP,SKIP,dfi_dram_model:SKIP(compile: unsupported SV (see smoke.log))
DPI-VIP,PASS,dpi_display_sink:PASS(x_hits=0 toggles=0)
DSI-VIP,SKIP,mipi_dut:SKIP(compile: unsupported SV (see smoke.log))
D_PHY-VIP,SKIP,mipi_dut:SKIP(compile: unsupported SV (see smoke.log))
DigRF-VIP,SKIP,mipi_dut:SKIP(compile: unsupported SV (see smoke.log))
DisplayPort2-VIP,PASS,displayport2_sink_model:PASS(x_hits=0 toggles=0); sata_dut:PASS(x_hits=0 toggles=715); nvme_dut:PASS(x_hits=0 toggles=715); jtag_dut:PASS(x_hits=0 toggles=715); bluetooth5_dut:PASS(x_hits=0 toggles=715)
Ethernet-VIP,SKIP,net_mac_model:SKIP(compile: unsupported SV (see smoke.log)); net_fc_model:SKIP(compile: unsupported SV (see smoke.log)); net_dut:SKIP(interface eth_1g_if passed through to submodule)
Ethernet_AVB_TSN-VIP,PASS,eth_avb_tsn_dut:PASS(x_hits=0 toggles=4044)
FC-VIP,SKIP,net_mac_model:SKIP(compile: unsupported SV (see smoke.log)); net_fc_model:SKIP(compile: unsupported SV (see smoke.log)); net_dut:SKIP(interface eth_1g_if passed through to submodule)
FlexRay-VIP,PASS,flexray_node_model:PASS(x_hits=0 toggles=1525)
HBM-VIP,SKIP,hbm_mem_model:SKIP(compile: unsupported SV (see smoke.log))
HBM5-VIP,SKIP,hbm5_mem_model:SKIP(compile: unsupported SV (see smoke.log))
HDCP-VIP,SKIP,hdcp_receiver_model:SKIP(compile: unsupported SV (see smoke.log))
HDMI-VIP,PASS,hdmi_sink_model:PASS(x_hits=0 toggles=413)
HSI-VIP,SKIP,mipi_dut:SKIP(compile: unsupported SV (see smoke.log))
I2C-VIP,SKIP,i2c_slave_model:SKIP(compile: unsupported SV (see smoke.log))
I2S-VIP,SKIP,i2s_receiver_loopback:SKIP(compile: unsupported SV (see smoke.log))
I3C-VIP,SKIP,i3c_target_model:SKIP(compile: unsupported SV (see smoke.log))
Interlaken-VIP,PASS,intlkn_rx_dut:PASS(x_hits=0 toggles=1487)
JESD204-VIP,PASS,jesd204_adc_dut:PASS(x_hits=0 toggles=1957)
JTAG-VIP,PASS,jtag_tap_dut:PASS(x_hits=0 toggles=2021)
LIN-VIP,PASS,lin_slave_model:PASS(x_hits=0 toggles=181)
LPDDR-VIP,SKIP,lpddr_mem_model:SKIP(compile: unsupported SV (see smoke.log))
LPI-VIP,PASS,lpi_device_model:PASS(x_hits=0 toggles=755)
LTI-VIP,PASS,lti_translation_unit_model:PASS(x_hits=0 toggles=1355)
M_PHY-VIP,SKIP,mipi_dut:SKIP(compile: unsupported SV (see smoke.log))
NVMe-VIP,SKIP,nvme_controller_model:SKIP(compile: unsupported SV (see smoke.log))
OCP-VIP,SKIP,ocp_slave_model:SKIP(compile: unsupported SV (see smoke.log))
ONFI-VIP,SKIP,onfi_nand_model:SKIP(compile: unsupported SV (see smoke.log))
PCIe-VIP,SKIP,mp_dut:SKIP(interface pcie5_if passed through to submodule); mp_endpoint_mem_model:SKIP(compile: unsupported SV (see smoke.log))
RFFE-VIP,SKIP,rffe_slave_model:SKIP(compile: unsupported SV (see smoke.log))
SAS-VIP,SKIP,sas_target_model:SKIP(compile: unsupported SV (see smoke.log))
SATA-VIP,SKIP,sata_host_model:SKIP(compile: unsupported SV (see smoke.log))
SD-VIP,PASS,unipro_endpoint_dut:PASS(x_hits=0 toggles=4274); emmc_device_dut:SKIP(compile: unsupported SV (see smoke.log)); onfi_flash_dut:PASS(x_hits=0 toggles=1); ufs_device_dut:SKIP(compile: unsupported SV (see smoke.log)); sd_card_dut:PASS(x_hits=0 toggles=367)
SLIMbus-VIP,SKIP,slimbus_codec_slave:SKIP(compile: unsupported SV (see smoke.log))
SPI-VIP,SKIP,spi_slave_model:SKIP(compile: unsupported SV (see smoke.log))
SPMI-VIP,SKIP,spmi_slave_model:SKIP(compile: unsupported SV (see smoke.log))
SWD-VIP,SKIP,swd_dp_model:SKIP(compile: unsupported SV (see smoke.log))
Security-VIP,SKIP,security_engine_model:SKIP(compile: unsupported SV (see smoke.log))
SoundWire-VIP,SKIP,soundwire_audio_peripheral:SKIP(compile: unsupported SV (see smoke.log))
TileLink-VIP,SKIP,tilelink_device_model:SKIP(compile: unsupported SV (see smoke.log))
ToggleNAND-VIP,SKIP,tnand_nand_model:SKIP(compile: unsupported SV (see smoke.log))
TypeC-VIP,SKIP,typec_partner_model:SKIP(compile: unsupported SV (see smoke.log))
UALink-VIP,SKIP,mp_dut:SKIP(compile: unsupported SV (see smoke.log)); mp_dut_channel:SKIP(compile: unsupported SV (see smoke.log))
UART-VIP,SKIP,uart_loopback_model:SKIP(compile: unsupported SV (see smoke.log))
UCIe-VIP,SKIP,mp_dut:SKIP(compile: unsupported SV (see smoke.log)); mp_dut_channel:SKIP(compile: unsupported SV (see smoke.log))
UEC-VIP,SKIP,net_dut:SKIP(compile: unsupported SV (see smoke.log)); net_dut_channel:SKIP(compile: unsupported SV (see smoke.log))
UFS-VIP,PASS,unipro_endpoint_dut:PASS(x_hits=0 toggles=4274); emmc_device_dut:PASS(x_hits=0 toggles=1470); onfi_flash_dut:PASS(x_hits=0 toggles=1); ufs_device_dut:SKIP(compile: unsupported SV (see smoke.log))
USB-VIP,SKIP,usb_dut:SKIP(interface usb2_if passed through to submodule); usb2_dev_ep:SKIP(interface vif passed through to submodule); usb3_phy_model:SKIP(interface vif passed through to submodule); usb4_phy_model:SKIP(interface vif passed through to submodule); pd_controller_model:SKIP(interface vif passed through to submodule)
