#,類別,Protocol,VIP檔案,大小,來源Bundle,SVA數量,FSM狀態數,Coverage類型,Checkers,版本,最後更新,狀態,下載路徑,License
1,Interconnect,CXL,CXL-VIP.zip,36KB,PCIE-VIP.zip,42,8,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=6,L4=5)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/CXL-VIP.zip,Apache-2.0
2,Interconnect,PCIe,PCIe-VIP.zip,40KB,PCIE-VIP.zip,50,10,"Inline,FSM,Toggle,SVA(L1=4,L2=8,L3=8,L4=5)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/PCIe-VIP.zip,Apache-2.0
3,Interconnect,UCIe,UCIe-VIP.zip,44KB,PCIE-VIP.zip,57,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=6,L4=4)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/UCIe-VIP.zip,Apache-2.0
4,Interconnect,UALink,UALink-VIP.zip,49KB,PCIE-VIP.zip,53,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=4)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/UALink-VIP.zip,Apache-2.0
5,Networking,Ethernet,Ethernet-VIP.zip,46KB,NET-VIP.zip,52,7,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/Ethernet-VIP.zip,Apache-2.0
6,Networking,FC,FC-VIP.zip,46KB,NET-VIP.zip,52,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/FC-VIP.zip,Apache-2.0
7,Networking,UEC,UEC-VIP.zip,30KB,NET-VIP.zip,48,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=4)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/UEC-VIP.zip,Apache-2.0
8,USB,USB,USB-VIP.zip,53KB,USB-VIP.zip,38,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/USB-VIP.zip,Apache-2.0
9,USB,USB-PD,USB_PD-VIP.zip,54KB,USB-VIP.zip,38,7,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/USB_PD-VIP.zip,Apache-2.0
10,USB,USB2,USB2-VIP.zip,42KB,USB-VIP.zip,38,7,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/USB2-VIP.zip,Apache-2.0
